id,X,Y,pososto,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,AVI,BI,DVI,EVI,IPVI,NDVI,NDWI,RENDVI,RVI,SI,forest_h,aspect,elevation,slope,lai,MAES_Name,land_cover
53621952,22.16812266,39.90899071,78,0.16285,0.096125,0.026625,0.047975,0.043975,0.0864,0.147525,0.16755,0.174125,0.183775,0.2786572,-0.5853789,0.13015,0.2631245,0.7998624,0.5997247,-0.5685368,0.082988,4.1128184,0.9604272,5.25,152.8783226,371,11.9136314,0.9401845,Mediterranean coniferous forests,forest
56702134,26.10211225,41.00649907,5,0.2464875,0.1630375,0.0525375,0.0795,0.0895375,0.1274,0.202925,0.2323125,0.23505,0.2564625,0.314171,-0.2315453,0.1455125,0.2641694,0.7254653,0.4509306,-0.496025,0.073107,2.6758395,0.9260028,3.25,250.3405342,327.5,5.1455989,0.943965,Mediterranean coniferous forests,mixed
56782144,26.2185283,41.07923594,92,0.1483375,0.0772375,0.032975,0.0532625,0.0397375,0.0936,0.1994125,0.229975,0.238675,0.2535625,0.3572428,-0.9871235,0.1989375,0.4044694,0.857386,0.714772,-0.6351468,0.090128,6.0329741,0.9579706,8.5,252.733551,152.25,6.8104278,1.4515702,Mediterranean coniferous forests,forest
56762146,26.19988383,41.1007091,50,0.2169125,0.137725,0.0499,0.0689625,0.0731375,0.1210875,0.178675,0.202125,0.2096,0.22295,0.2971338,-0.3701998,0.1364625,0.2688971,0.7494799,0.4989598,-0.5138164,0.0803955,3.2333324,0.9359351,0,105.3547707,123.5,4.2151101,0.9610695,Mediterranean coniferous forests,forest
56082142,25.39682876,41.19322644,40,0.2596,0.17035,0.058725,0.089075,0.107325,0.1469,0.21565,0.2438,0.263975,0.2756,0.3317674,-0.2129837,0.15665,0.2700519,0.7167799,0.4335599,-0.5009469,0.1015899,2.6985711,0.9147081,2.25,184.0641022,384,7.5696565,0.9652478,Mediterranean coniferous forests,shrubland
56762154,26.21857288,41.17117728,96,0.111875,0.052875,0.0308625,0.051875,0.0337375,0.0794,0.191075,0.218625,0.230075,0.234425,0.3520728,-1.3853754,0.1963375,0.4086698,0.8721587,0.7443174,-0.6320001,0.0924914,6.8304586,0.9611296,11,59.4401131,204.25,11.7560582,1.4667675,Mediterranean coniferous forests,forest
55942134,25.21547834,41.14805668,93,0.161625,0.0944,0.0351,0.058225,0.046675,0.090725,0.179875,0.20585,0.22755,0.23055,0.339564,-0.7916774,0.180875,0.3631704,0.8297204,0.6594407,-0.5919934,0.1183156,4.9188656,0.953285,6.75,261.96698,321,33.7407751,1.3021506,Mediterranean coniferous forests,shrubland
56782140,26.20920026,41.04399917,50,0.1987125,0.1158625,0.0449125,0.0653,0.060775,0.1123625,0.1940125,0.2200125,0.233575,0.2398125,0.3341939,-0.5837773,0.1728,0.3432242,0.7964852,0.5929704,-0.5633587,0.0924549,4.460706,0.9429521,3.75,98.5813217,170.25,12.6365106,1.229985,Mediterranean coniferous forests,shrubland
52542036,21.05124683,40.80832736,85,0.2034,0.1084,0.031325,0.0504,0.039,0.08485,0.213525,0.25735,0.27355,0.28135,0.3942627,-0.7161127,0.23455,0.4598814,0.8730046,0.7460093,-0.6853229,0.1217287,7.4202213,0.9597242,6.5,32.4532413,987,9.2281961,1.652051,Mediterranean coniferous forests,forest
56702154,26.14854191,41.18272698,98,0.136375,0.064275,0.0281375,0.04775,0.033325,0.0785625,0.195825,0.2334125,0.2496,0.2547875,0.3731968,-1.186765,0.216275,0.4358609,0.8811731,0.7623462,-0.677588,0.1194216,7.5119722,0.9635592,7.75,171.6703262,298.75,8.2776,1.5651448,Mediterranean coniferous forests,forest
56382130,25.72017737,41.03177222,50,0.164575,0.0938125,0.028075,0.051275,0.0459125,0.0913625,0.17975,0.2046875,0.21265,0.2229875,0.3232488,-0.7192729,0.1667375,0.32739,0.8254373,0.6508746,-0.6131531,0.0837741,5.111019,0.9581877,6.75,181.680912,199.25,9.2555609,1.172697,Mediterranean coniferous forests,mixed
52542024,21.03231232,40.70106965,75,0.249975,0.1684625,0.047975,0.0718375,0.0705375,0.1189875,0.214925,0.2500125,0.260625,0.277325,0.3580746,-0.3458702,0.1900875,0.3593602,0.7886157,0.5772314,-0.5690548,0.0958674,3.9324023,0.936482,3.25,121.9589043,869.5,22.463357,1.2883651,Mediterranean coniferous forests,shrubland
52542026,21.03546194,40.71894714,60,0.21245,0.130325,0.0430625,0.0606125,0.05395,0.0975,0.1919,0.2244875,0.235275,0.25125,0.3427931,-0.5072167,0.181325,0.3667264,0.8153058,0.6306116,-0.5923175,0.1017679,4.6990055,0.9474295,3,183.0465622,968,30.585083,1.3150162,Mediterranean coniferous forests,shrubland
