id,X,Y,pososto,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,AVI,BI,DVI,EVI,IPVI,NDVI,NDWI,RENDVI,RVI,SI,forest_h,aspect,elevation,slope,lai,MAES_Name,land_cover
52742008,21.24037938,40.53155383,10,0.3136,0.195075,0.065525,0.09445,0.096125,0.150525,0.236025,0.271175,0.292275,0.302425,0.3725284,-0.106678,0.19615,0.3558056,0.7519555,0.5039109,-0.5105855,0.1057036,3.0491968,0.914525,3.75,325.8936234,884.5,20.976316,1.2755048,Mediterranean deciduous forests,shrubland
52721970,21.15697311,40.19453479,34,0.2204,0.118475,0.0447,0.071225,0.060625,0.1131,0.24315,0.284525,0.276225,0.315075,0.3823368,-0.5470226,0.2156,0.4137557,0.8201711,0.6403422,-0.5898198,0.0636899,4.6584834,0.9410832,7.75,101.0435762,883.25,21.6617837,1.4851682,Mediterranean deciduous forests,forest
53301960,21.81220768,40.02599206,80,0.202725,0.0885,0.0286,0.0532,0.03315,0.0891,0.275925,0.32455,0.342725,0.355675,0.46798,-0.9717243,0.309575,0.5829877,0.9114088,0.8228177,-0.7307942,0.1075353,10.6012636,0.9616221,6,285.3924026,482.25,10.3169618,2.0974495,Mediterranean deciduous forests,forest
53662080,22.43786769,41.04423898,95,0.208275,0.096425,0.030425,0.056075,0.0348,0.094875,0.299025,0.359375,0.36905,0.3836,0.49166,-1.010947,0.33425,0.6186023,0.9130294,0.8260589,-0.7349479,0.1040792,11.0960467,0.9594998,7,235.6500397,420,15.8854651,2.2263031,Mediterranean deciduous forests,forest
53582086,22.35471366,41.10949178,98,0.177575,0.07515,0.02165,0.0431875,0.0206375,0.07615,0.276475,0.343625,0.353225,0.376975,0.4863046,-1.3180165,0.3325875,0.6323349,0.9448432,0.8896864,-0.7821476,0.1216306,17.2501183,0.9714523,20.5,101.6119385,714,13.5645113,2.2759876,Mediterranean deciduous forests,forest
53221930,21.67078657,39.76916376,92,0.21775,0.098,0.024825,0.052075,0.029975,0.08965,0.3263,0.40615,0.440175,0.43435,0.5594194,-1.1650608,0.4102,0.715276,0.936033,0.872066,-0.7881965,0.1491141,15.1985445,0.9643006,2.5,166.6402054,858.5,15.3962898,2.5760686,Mediterranean deciduous forests,forest
53041936,21.47308454,39.84752949,100,0.188025,0.0801,0.024675,0.04915,0.02385,0.084425,0.3023,0.3679,0.3888,0.395125,0.5173299,-1.326239,0.36495,0.6772804,0.9421473,0.8842947,-0.7755788,0.1251646,16.3472495,0.9673696,9.75,332.9822235,550,15.7768188,2.4386003,Mediterranean deciduous forests,forest
52721988,21.18532983,40.35546366,96,0.1697,0.08055,0.0251,0.04575,0.029675,0.0805,0.24065,0.293125,0.289775,0.320575,0.417407,-1.0789176,0.2601,0.5072338,0.9049389,0.8098777,-0.7237512,0.0900891,10.4292405,0.9664494,0,134.6425133,969.5,22.0062914,1.8233718,Mediterranean deciduous forests,forest
52962028,21.52942506,40.68039831,98,0.18835,0.0779,0.02375,0.045975,0.02375,0.082075,0.316525,0.408475,0.4202,0.44755,0.5456863,-1.4419126,0.39645,0.7154709,0.946449,0.8928981,-0.8026746,0.140978,17.710073,0.9687843,9,326.2152405,939.25,10.942426,2.5767736,Mediterranean deciduous forests,forest
54161928,22.74742453,39.61506003,65,0.168075,0.076275,0.02625,0.046675,0.027325,0.0837125,0.22575,0.2636,0.2599,0.2853875,0.3886853,-0.9840473,0.232575,0.4735307,0.9047857,0.8095714,-0.695141,0.0697735,9.5053537,0.9665369,8.25,351.3168945,591,15.5562878,1.7014342,Mediterranean deciduous forests,forest
