id,X,Y,pososto,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,AVI,BI,DVI,EVI,IPVI,NDVI,NDWI,RENDVI,RVI,SI,forest_h,aspect,elevation,slope,lai,MAES_Name,land_cover
53861980,22.49350944,40.12356506,100,0.1195,0.0502,0.0226,0.04085,0.025875,0.070075,0.224025,0.271575,0.27245,0.293525,0.4026816,-1.5893245,0.246575,0.4894914,0.9128441,0.8256882,-0.7389084,0.0963361,10.5472867,0.9701918,11.25,45.4864092,231.25,3.2697542,1.7591798,Mediterranean sclerophyllous forests,shrubland
54181950,22.80940862,39.80810076,88,0.155675,0.083275,0.03385,0.05675,0.046075,0.092825,0.21705,0.25345,0.242,0.27435,0.3551024,-0.927682,0.195925,0.3904684,0.8478118,0.6956237,-0.6271171,0.0540274,7.0342526,0.9543778,8.5,338.3417053,166,12.8179789,1.4009146,Mediterranean sclerophyllous forests,forest
53961958,22.57032772,39.91255503,98,0.1625,0.070975,0.025425,0.046425,0.0289,0.084875,0.26815,0.326625,0.3302,0.351225,0.4585712,-1.3091379,0.3013,0.573188,0.9192454,0.8384908,-0.7528842,0.1032347,11.4213765,0.9663727,6.25,69.7615395,279,18.0551014,2.0619941,Mediterranean sclerophyllous forests,forest
53701988,22.3223411,40.21848607,98,0.1823,0.0784,0.024975,0.04895,0.02375,0.090275,0.2869,0.357475,0.37505,0.3837,0.5046398,-1.340403,0.3513,0.6598885,0.9403384,0.8806768,-0.7689538,0.1332514,15.7861786,0.9673712,14.25,275.4243164,242.5,22.1831963,2.3756767,Mediterranean sclerophyllous forests,forest
53881968,22.49559445,40.01361689,100,0.223575,0.0976,0.042925,0.073675,0.0428,0.13005,0.390625,0.470725,0.4572,0.500225,0.5658034,-1.1099987,0.4144,0.7436894,0.9144151,0.8288302,-0.7228182,0.0779767,10.6845698,0.9467525,18.5,92.0212547,555.75,40.4146481,2.6788683,Mediterranean sclerophyllous forests,forest
53981966,22.60745126,39.98087762,100,0.204525,0.11415,0.031575,0.05365,0.0541,0.1051,0.222125,0.2646,0.2671,0.29185,0.375623,-0.7063326,0.213,0.3978036,0.8291575,0.6583151,-0.6598773,0.0949784,6.400214,0.9534667,14,72.4889641,205,10.3519866,1.4274535,Mediterranean sclerophyllous forests,forest
56662136,26.06015036,41.03177453,42,0.218125,0.1297375,0.0462,0.0704375,0.0724125,0.1199125,0.216175,0.248175,0.2528,0.271875,0.3474824,-0.4628277,0.1803875,0.3387167,0.7789296,0.5578593,-0.5641249,0.0775532,3.9305301,0.9368931,5.25,197.1963844,324,6.0071752,1.2136769,Mediterranean sclerophyllous forests,shrubland
53881974,22.50609952,40.06710739,100,0.1490625,0.063425,0.0234,0.0465875,0.0264,0.0824,0.249425,0.2949625,0.29655,0.31605,0.4272059,-1.3288335,0.27015,0.5277635,0.9181302,0.8362604,-0.7282801,0.0861293,11.2626843,0.9678157,12.5,69.132452,415,23.5233645,1.8976484,Mediterranean sclerophyllous forests,shrubland
53901966,22.51517249,39.9928149,96,0.1659,0.0756,0.0355,0.062,0.034375,0.09605,0.292625,0.34235,0.36015,0.366225,0.4834255,-1.3798337,0.325775,0.6257342,0.9127498,0.8254997,-0.7065625,0.1020266,10.488153,0.9559543,23.25,306.5062408,865.5,38.8765812,2.2521065,Mediterranean sclerophyllous forests,forest
56662140,26.06939015,41.06702903,92,0.17295,0.078025,0.031175,0.0539,0.033625,0.105525,0.28,0.338875,0.33595,0.358625,0.4609072,-1.2033804,0.302325,0.5788641,0.9083786,0.8167572,-0.7220732,0.0903379,10.05039,0.9603788,16.75,307.1626434,262.5,16.495172,2.0825302,Mediterranean sclerophyllous forests,forest
54201950,22.83240594,39.80505642,40,0.178475,0.092825,0.036425,0.063925,0.05315,0.0994,0.2417,0.301825,0.3203,0.32405,0.4291449,-1.0074107,0.26715,0.4856683,0.8544489,0.7088977,-0.6574541,0.1266483,7.0681447,0.9487508,6.25,331.5963058,20.75,20.927604,1.7453479,Mediterranean sclerophyllous forests,mixed
