id,X,Y,pososto,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,AVI,BI,DVI,EVI,IPVI,NDVI,NDWI,RENDVI,RVI,SI,forest_h,aspect,elevation,slope,lai,MAES_Name,land_cover
54041948,22.64485351,39.81143116,96,0.16505,0.099975,0.0378,0.056225,0.0535125,0.0851125,0.17175,0.2022125,0.216775,0.2242375,0.3222364,-0.7079312,0.1632625,0.3255746,0.8032618,0.6065235,-0.589468,0.1163954,4.16023,0.9507847,5.5,98.5401154,864.5,12.1663098,1.1661289,Mixed Forest,shrubland
53102058,21.74313558,40.92876968,4,0.2211375,0.1181875,0.0458125,0.076025,0.066675,0.1321,0.2915,0.3366375,0.3416125,0.36785,0.4437862,-0.675309,0.2749375,0.4905664,0.8356759,0.6713519,-0.6341813,0.0786754,5.2486306,0.9370759,0.75,312.1714325,1897,20.261641,1.7630694,Mixed Forest,forest
53701966,22.2843454,40.02227763,92,0.168675,0.09235,0.033125,0.05255,0.041325,0.0843,0.2039,0.2493,0.253175,0.2716,0.3713176,-0.8832351,0.21185,0.4223314,0.8589927,0.7179854,-0.6542998,0.1065929,6.5272607,0.9576324,5.5,151.1542778,1111.5,25.9839106,1.5161949,Mixed Forest,shrubland
52982002,21.51016725,40.44546355,100,0.16695,0.0674,0.0206625,0.040975,0.01945,0.0663875,0.2913875,0.37895,0.3816625,0.4043,0.5120838,-1.5575074,0.3622125,0.6708248,0.9503706,0.9007412,-0.8047868,0.1312331,19.581974,0.9729186,12,282.4372635,993.75,15.8673997,2.4152442,Mixed Forest,forest
53821958,22.408979,39.93332342,36,0.193025,0.109475,0.0371,0.062675,0.05405,0.103725,0.21365,0.249725,0.2587,0.273525,0.3683826,-0.666639,0.20465,0.3934133,0.8293228,0.6586455,-0.6121212,0.0954768,5.1958796,0.948659,3.25,176.0283966,1119.5,14.2215319,1.4115693,Mixed Forest,shrubland
56642150,26.06921074,41.15897946,12,0.2717625,0.176225,0.0599625,0.0857375,0.0986,0.1387,0.218225,0.24985,0.251425,0.279775,0.3256009,-0.1632487,0.152825,0.2744484,0.7185744,0.4371489,-0.4916644,0.0707057,2.5853789,0.918424,2.25,97.404686,734,23.6878052,0.9811544,Mixed Forest,shrubland
53941960,22.55078748,39.93336876,90,0.08255,0.03815,0.01615,0.029675,0.0182,0.05345,0.152275,0.19105,0.1988,0.207875,0.3274652,-1.8300126,0.1806,0.380085,0.9154342,0.8308685,-0.7388498,0.129904,11.0282669,0.9786396,15,136.7085915,845,20.2601457,1.3633477,Mixed Forest,forest
53242078,21.94144911,41.08740536,98,0.1659,0.0747,0.02445,0.05145,0.029575,0.08935,0.262875,0.31905,0.337075,0.347225,0.4649459,-1.2951508,0.3075,0.5772645,0.9195057,0.8390114,-0.7351404,0.1234524,11.4640489,0.9647696,15,91.339983,1307,26.9406195,2.0767431,Mixed Forest,forest
53821956,22.40551442,39.91548661,96,0.1982875,0.0875,0.0364,0.0569375,0.036825,0.094525,0.3266375,0.40105,0.391825,0.430875,0.5110667,-1.1616278,0.355,0.6610452,0.9124943,0.8249886,-0.7433825,0.0894347,11.3442181,0.9565634,14.25,62.1643,1031.75,12.3751678,2.3798614,Mixed Forest,shrubland
53881966,22.49209812,39.99578564,95,0.22105,0.0990875,0.0311875,0.0599375,0.03125,0.1001375,0.3577625,0.4517,0.452225,0.482325,0.5686301,-1.1771886,0.420975,0.7474138,0.9352892,0.8705785,-0.7655527,0.1155377,14.5572834,0.9591102,25.25,181.5440665,759.5,35.8889027,2.6923433,Mixed Forest,forest
52561998,21.01488244,40.46599933,75,0.1146125,0.0547125,0.0237875,0.037675,0.0239625,0.0628125,0.1887125,0.2314875,0.233475,0.251975,0.3623306,-1.4649325,0.2095125,0.4361654,0.9067008,0.8134015,-0.7221511,0.1053824,9.8328168,0.9715022,19,344.3878021,1196.5,22.3187485,1.5662465,Mixed Forest,forest
52701980,21.14947956,40.28659964,98,0.15715,0.0666,0.020425,0.038025,0.02095,0.0632,0.265725,0.350575,0.357475,0.37225,0.4901048,-1.5656166,0.336525,0.6324401,0.9445792,0.8891585,-0.8077329,0.1474615,17.1219759,0.9734986,11.75,25.7321839,1073.75,10.62075,2.2763682,Mixed Forest,forest
53282034,21.91303085,40.68930185,90,0.1188625,0.050575,0.0188125,0.034525,0.0221625,0.0545375,0.21165,0.27275,0.2848125,0.290825,0.4177943,-1.7175935,0.26265,0.5136361,0.9285557,0.8571114,-0.7848351,0.1453709,13.2469153,0.9748091,12.75,58.6014109,1159.5,12.4589679,1.8465353,Mixed Forest,forest
56242120,25.53459074,40.969526,25,0.1840625,0.1004125,0.0327375,0.0545875,0.0477875,0.0956625,0.1836625,0.209225,0.221675,0.2371625,0.3323002,-0.6123537,0.1738875,0.3441785,0.8225745,0.645149,-0.6046585,0.0936952,4.643382,0.9549189,4,153.460865,231.5,6.4174709,1.2334377,Mixed Forest,shrubland
