id,X,Y,pososto,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,AVI,BI,DVI,EVI,IPVI,NDVI,NDWI,RENDVI,RVI,SI,forest_h,aspect,elevation,slope,lai,MAES_Name,land_cover
53641974,22.22876673,40.10237764,70,0.200125,0.117475,0.045025,0.072725,0.06065,0.117,0.236825,0.2735,0.2835,0.295475,0.389908,-0.6720078,0.22285,0.4256865,0.824273,0.6485459,-0.5918057,0.0897313,4.8339978,0.9404624,3.5,141.6826286,1261.5,39.0729151,1.5283338,Temperate mountainous coniferous forests,shrubland
53621974,22.20564366,40.10528142,93,0.1663,0.08925,0.025525,0.04365,0.030525,0.08165,0.202275,0.2425,0.24505,0.2625,0.3707147,-0.961225,0.214525,0.4340268,0.8900301,0.7800603,-0.6982275,0.0959401,8.3944026,0.9667345,6,225.019165,967.5,16.6346827,1.558509,Temperate mountainous coniferous forests,shrubland
53501978,22.07364861,40.15828316,82,0.08705,0.043025,0.0199125,0.0300625,0.0216,0.0502,0.1647125,0.2007375,0.2184375,0.2174875,0.3467005,-1.8548687,0.1968375,0.4090004,0.908319,0.816638,-0.756368,0.1381756,10.236101,0.9761305,17,216.4606285,1485,21.6879845,1.4679634,Temperate mountainous coniferous forests,shrubland
53182068,21.85388867,41.00673272,100,0.14665,0.065,0.0195375,0.0364625,0.0217125,0.063725,0.2354875,0.2901,0.290825,0.316625,0.4241673,-1.3611874,0.2691125,0.5269814,0.9299759,0.8599519,-0.7765901,0.1040097,13.4079869,0.9740661,16.5,105.3341713,1297.5,29.9508395,1.8948186,Temperate mountainous coniferous forests,forest
53921960,22.52773525,39.93634749,100,0.1177375,0.052125,0.0252375,0.0445375,0.0266,0.0732625,0.259025,0.3267625,0.313175,0.348075,0.4432141,-1.8610798,0.286575,0.5573367,0.9212049,0.8424098,-0.7503933,0.0940957,11.7550483,0.967834,21.75,319.5711823,1000.5,29.1445141,2.0046441,Temperate mountainous coniferous forests,forest
53382020,22.00578414,40.55017943,98,0.2218,0.0973,0.032975,0.054175,0.030825,0.09125,0.335125,0.425775,0.44115,0.45765,0.5597657,-1.151509,0.410325,0.7438318,0.9346167,0.8692334,-0.7810972,0.1372431,14.4598944,0.9606168,22,316.9053345,1526,19.0255699,2.6793834,Temperate mountainous coniferous forests,forest
53422014,22.04210147,40.49093512,97,0.136625,0.060775,0.03355,0.050825,0.031175,0.077475,0.25755,0.31995,0.3326,0.343375,0.4592567,-1.6479799,0.301425,0.5933154,0.9139244,0.8278488,-0.7345785,0.1262619,10.6604102,0.9614418,18.5,296.5269775,1508,25.4911923,2.1348152,Temperate mountainous coniferous forests,forest
53202066,21.87393382,40.98606839,12,0.1771625,0.1147,0.0535875,0.0679625,0.064675,0.1003125,0.155825,0.1757125,0.175225,0.193275,0.2610664,-0.4731278,0.11055,0.2364067,0.7315167,0.4630334,-0.4415995,0.0504419,2.7880828,0.9379027,3.5,92.5473099,665.25,11.0229363,0.8435195,Temperate mountainous coniferous forests,shrubland
53581976,22.16280639,40.12891593,76,0.1052625,0.0565875,0.0210875,0.035725,0.027825,0.0517,0.157075,0.1933875,0.2131375,0.2075375,0.3373051,-1.4090384,0.1853125,0.3793269,0.8845537,0.7691074,-0.71276,0.1530138,7.881012,0.9717678,13,203.3906097,1163.5,25.5602808,1.3606048,Temperate mountainous coniferous forests,forest
53042046,21.65274965,40.83004532,100,0.0803,0.041675,0.01855,0.03095,0.022075,0.049675,0.15695,0.1938,0.1969,0.206575,0.3228872,-1.786836,0.174825,0.3672121,0.8991949,0.7983899,-0.7283639,0.1129047,8.9221191,0.9761277,16,68.1349373,1088.5,11.1822171,1.3167732,Temperate mountainous coniferous forests,forest
