id,X,Y,pososto,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,AVI,BI,DVI,EVI,IPVI,NDVI,NDWI,RENDVI,RVI,SI,forest_h,aspect,elevation,slope,lai,MAES_Name,land_cover
52922028,21.48271458,40.68587714,100,0.191825,0.0788,0.024675,0.048025,0.0238,0.085075,0.327525,0.41865,0.4347,0.44785,0.5585931,-1.454967,0.4109,0.7376221,0.9480443,0.8960886,-0.8010301,0.1403954,18.2834115,0.9677675,17,339.0663452,1078.5,22.5789661,2.6569166,Temperate deciduous forests,forest
52902016,21.43979001,40.58143397,50,0.239825,0.13055,0.0415,0.066675,0.0558,0.10615,0.2751,0.334625,0.339925,0.35935,0.449225,-0.6357095,0.284125,0.520506,0.857868,0.7157359,-0.6696248,0.1041945,6.7452463,0.9452779,5,261.0581665,1139,22.2701225,1.8713906,Temperate deciduous forests,forest
55682152,24.95026172,41.35383486,97,0.2158125,0.0948625,0.0325375,0.0533375,0.030675,0.087875,0.3087,0.3952375,0.4040625,0.426225,0.5261823,-1.0861333,0.3733875,0.6930029,0.9299094,0.8598188,-0.7680563,0.1319111,13.3563359,0.9610926,24.75,300.2514877,946.75,25.8969874,2.4954843,Temperate deciduous forests,forest
52922018,21.46637081,40.59657094,98,0.1916,0.079325,0.021475,0.0441,0.022225,0.0829,0.3368,0.43795,0.44675,0.48235,0.5693081,-1.501067,0.424525,0.7456995,0.9521561,0.9043121,-0.8197309,0.1391279,20.0561094,0.9706752,14.5,81.2907925,1277.25,15.954488,2.6861408,Temperate deciduous forests,forest
53042002,21.57996651,40.43722255,70,0.192975,0.0924375,0.02685,0.0519875,0.0320125,0.0933125,0.2787,0.338925,0.3497,0.370425,0.4737153,-1.0765683,0.3176875,0.5893002,0.9136323,0.8272647,-0.7372367,0.1105474,11.320995,0.9629859,6.5,50.3079538,1167.25,21.2340913,2.120288,Temperate deciduous forests,forest
53382032,22.0262974,40.65721573,85,0.191675,0.0823125,0.026925,0.055025,0.0278625,0.095425,0.3077,0.3733875,0.3855875,0.402525,0.5116394,-1.2492098,0.357725,0.6617236,0.9324154,0.8648309,-0.7499234,0.1119283,13.9184396,0.9633066,7,96.04076,832.5,24.2348394,2.3823158,Temperate deciduous forests,forest
52601986,21.04269264,40.35344763,63,0.2212125,0.1250625,0.0385125,0.0667625,0.05445,0.1097875,0.24835,0.291275,0.3053125,0.3155375,0.4165465,-0.6315463,0.2508625,0.4667151,0.8485838,0.6971675,-0.6417139,0.1032878,5.7989786,0.946684,0,137.4333267,1225,33.3509231,1.6767752,Temperate deciduous forests,forest
52722028,21.24905604,40.71294002,82,0.180525,0.079625,0.021025,0.04705,0.02435,0.0857,0.284,0.3604,0.370575,0.386425,0.5000601,-1.3136714,0.346225,0.6365562,0.9385044,0.8770087,-0.7754682,0.1316694,15.3238707,0.9691207,25,81.09688,1333.75,23.077662,2.2912603,Temperate deciduous forests,forest
53701982,22.31194678,40.16498106,98,0.168075,0.071275,0.018275,0.0345,0.0189,0.0678,0.267725,0.3466,0.34705,0.377575,0.4811774,-1.3984485,0.32815,0.6188352,0.9484839,0.8969678,-0.8200388,0.127986,18.463541,0.9760777,23.5,329.8182068,768,18.6277122,2.2271458,Temperate deciduous forests,forest
52762038,21.3119527,40.79690117,70,0.221575,0.1036375,0.0325375,0.0634875,0.0340375,0.1103,0.3446125,0.438125,0.4711625,0.4774375,0.5831806,-1.2125545,0.437125,0.7624055,0.9323778,0.8647557,-0.7619887,0.1533294,14.0311873,0.956538,9,268.7958527,1166,18.8672247,2.7465832,Temperate deciduous forests,forest
52661984,21.10929951,40.32765877,98,0.19475,0.08665,0.02255,0.04635,0.0255,0.0922,0.3023,0.37155,0.3791,0.41175,0.5072804,-1.2012414,0.3536,0.6483147,0.9368939,0.8737878,-0.7820469,0.1124504,14.8687837,0.9684747,17,126.6851807,1407.5,4.7788162,2.3338025,Temperate deciduous forests,forest
52702034,21.23530577,40.76922307,72,0.21075,0.100975,0.0301,0.0613,0.0374375,0.110225,0.3252625,0.3982125,0.42425,0.440175,0.5402826,-1.1469896,0.3868125,0.679623,0.9207231,0.8414462,-0.750603,0.1322479,13.0141095,0.9569556,13,193.7337837,1472.25,17.4602206,2.4470758,Temperate deciduous forests,forest
55842138,25.10727864,41.20144952,90,0.2385625,0.1321125,0.0443625,0.0750625,0.0689875,0.120575,0.251475,0.2958625,0.305575,0.3254625,0.4063441,-0.4834388,0.2365875,0.4262399,0.816094,0.6321881,-0.6056689,0.0963389,4.5624868,0.9370993,5.5,236.9705353,683.5,14.465863,1.5303361,Temperate deciduous forests,forest
53322038,21.96654039,40.71929823,96,0.22485,0.09635,0.028825,0.051975,0.0284,0.1015,0.3358,0.421675,0.4381,0.45615,0.5586686,-1.1234173,0.4097,0.735611,0.9391531,0.8783062,-0.7881064,0.1320788,15.4583786,0.9635351,23.25,10.7806146,971.75,19.7313273,2.6496407,Temperate deciduous forests,forest
52662020,21.16617674,40.64946109,92,0.1799125,0.0806375,0.022325,0.0430625,0.0239625,0.078775,0.26455,0.3356,0.3588125,0.3651625,0.4893871,-1.2873401,0.33485,0.6267967,0.937291,0.874582,-0.7854602,0.1510666,15.0253079,0.9701707,6.75,56.780961,1201.5,21.5935607,2.2559504,Temperate deciduous forests,forest
53322030,21.95289875,40.64793766,95,0.2073,0.0855,0.02385,0.04055,0.0226,0.076325,0.2982,0.380625,0.40345,0.415475,0.5315372,-1.2021327,0.38085,0.7001546,0.946944,0.893888,-0.8173539,0.1503001,17.919498,0.9709645,26,303.4263382,1600.75,17.7114272,2.5213593,Temperate deciduous forests,forest
52822026,21.36266548,40.6816129,97,0.1624625,0.0718375,0.0203625,0.041275,0.022175,0.077125,0.27885,0.3556375,0.39135,0.38025,0.5204823,-1.6447056,0.369175,0.6721418,0.9462722,0.8925444,-0.8086871,0.168504,17.6427045,0.9720162,14.6666667,235.2672272,1597,17.3396587,2.4200091,Temperate deciduous forests,forest
55662148,24.91813816,41.32202352,96,0.2042,0.0827625,0.0234625,0.04775,0.0222875,0.0889,0.3252,0.41155,0.4245375,0.4486375,0.5505281,-1.3031874,0.40225,0.7272244,0.950073,0.9001459,-0.7977912,0.1322424,19.0476284,0.968761,10.5,289.1475525,493.5,13.1760871,2.6192979,Temperate deciduous forests,forest
52722036,21.26192037,40.78441171,76,0.2063125,0.0976875,0.0237,0.048925,0.0291625,0.0918875,0.286175,0.35445,0.3778375,0.3907375,0.5035161,-1.0960873,0.348675,0.6337285,0.9278533,0.8557066,-0.7697969,0.1371017,14.3052146,0.9660077,10,144.4300156,1494,11.8347664,2.2810298,Temperate deciduous forests,forest
56202158,25.57309092,41.31235724,100,0.1981625,0.0870625,0.021175,0.0355125,0.0239375,0.07075,0.28235,0.3847,0.4010875,0.4260125,0.5284612,-1.2570513,0.37715,0.6801758,0.9436232,0.8872463,-0.8373337,0.1736437,16.7606907,0.9731044,23.5,320.4769058,709,23.1128936,2.4490761,Temperate deciduous forests,forest
53541982,22.1267566,40.18821955,98,0.2100125,0.0933375,0.02475,0.053175,0.026425,0.096,0.3220125,0.397,0.4175375,0.4431,0.5417203,-1.1932991,0.3911125,0.7032296,0.9404768,0.8809537,-0.7741401,0.1294905,15.8855867,0.9651272,22.5,72.2808528,1378,13.3149984,2.5324847,Temperate deciduous forests,forest
52802042,21.36525934,40.82722661,100,0.236375,0.102275,0.03495,0.0694,0.036725,0.12675,0.37655,0.46685,0.4787,0.50795,0.5882948,-1.0943063,0.441975,0.7685149,0.9286307,0.8572613,-0.7463426,0.1189316,13.0406764,0.9528422,16.5,20.2349553,1015.5,27.083529,2.7686868,Temperate deciduous forests,forest
53562072,22.30639441,40.98771256,98,0.171425,0.078325,0.03265,0.0510875,0.0322875,0.0901125,0.2584625,0.32535,0.3423875,0.35475,0.4681836,-1.2659898,0.3101,0.6001573,0.9137209,0.8274418,-0.7401336,0.1392482,10.7490404,0.9612836,23.25,269.9999695,1317,14.8033562,2.1595692,Temperate deciduous forests,forest
53562066,22.29579158,40.93425335,100,0.22865,0.0988,0.0281,0.052925,0.028225,0.10215,0.35675,0.4553,0.459925,0.49875,0.5774994,-1.1540034,0.4317,0.760087,0.9421017,0.8842035,-0.7933796,0.125537,16.2838781,0.9635119,23,39.4589806,865.5,19.7553406,2.7381948,Temperate deciduous forests,forest
53282078,21.9884224,41.08170324,96,0.223725,0.1073875,0.0324,0.0587375,0.04085,0.100975,0.2878,0.34735,0.351325,0.38425,0.469102,-0.807408,0.310475,0.5702945,0.8939578,0.7879157,-0.7106222,0.0917001,9.5173593,0.9559321,23.5,273.0692825,933.5,30.5541587,2.0515256,Temperate deciduous forests,forest
55622154,24.88417324,41.38217672,100,0.1883875,0.078075,0.0251125,0.044475,0.0247875,0.0833625,0.3113,0.4063875,0.3947625,0.4302125,0.5213177,-1.3297248,0.369975,0.6807465,0.9409283,0.8818567,-0.7976642,0.1167116,15.9408839,0.968496,24,336.6747437,1098,30.9371872,2.4511408,Temperate deciduous forests,forest
53841976,22.46339069,40.09087122,96,0.211725,0.1042,0.038025,0.071225,0.04385,0.117375,0.3379125,0.3999125,0.4124,0.424625,0.5234413,-1.0466406,0.36855,0.6579579,0.9006057,0.8012113,-0.7010817,0.0973872,9.5473895,0.9488485,14.5,55.3541241,828,33.4037423,2.3686918,Temperate deciduous forests,forest
53342082,22.06582501,41.10876345,98,0.1587,0.068675,0.0209,0.043975,0.022975,0.077775,0.2495,0.30875,0.339825,0.3383,0.4715393,-1.4427383,0.31685,0.5986212,0.9364386,0.8728771,-0.7707111,0.1521591,14.7736967,0.970659,21.5,239.2791214,1292,19.2698612,2.1540116,Temperate deciduous forests,forest
53821976,22.44027994,40.09383042,98,0.185425,0.093425,0.0261,0.04625,0.02835,0.088625,0.282125,0.345375,0.34335,0.37275,0.4710994,-1.1431045,0.315,0.5957881,0.923205,0.8464099,-0.7617483,0.0946155,12.0875537,0.9663899,18.75,54.1244888,756.5,24.9420185,2.1437613,Temperate deciduous forests,forest
53262030,21.882909,40.65644812,98,0.190575,0.0825375,0.0268875,0.0551625,0.0273875,0.0976125,0.33785,0.4214875,0.4488,0.4507875,0.5686518,-1.4896892,0.4214125,0.7462675,0.942476,0.8849519,-0.7812703,0.141194,16.3851328,0.9634283,19.75,25.991406,1156.25,25.9487491,2.6881959,Temperate deciduous forests,forest
